timestamp,load_mw,temp_c,humidity,wind_ms,rain_mm,outage,duration_min
2024-01-01 00:00:00,1.592,24.97,55.6,5.12,0.455,0,0.0
2024-01-01 01:00:00,1.539,21.74,58.6,4.67,0.836,0,0.0
2024-01-01 02:00:00,1.766,20.81,50.7,4.16,0.1,0,0.0
2024-01-01 03:00:00,2.134,21.54,63.5,4.46,0.408,0,0.0
2024-01-01 04:00:00,2.299,19.94,44.8,3.77,0.65,0,0.0
2024-01-01 05:00:00,2.925,18.72,62.3,3.95,0.04,0,0.0
2024-01-01 06:00:00,3.915,19.55,54.8,3.83,0.265,0,0.0
2024-01-01 07:00:00,4.384,18.32,60.0,3.5,0.284,0,0.0
2024-01-01 08:00:00,4.43,18.05,56.8,4.63,0.095,0,0.0
2024-01-01 09:00:00,4.351,18.92,56.7,4.04,0.007,0,0.0
2024-01-01 10:00:00,3.609,18.16,57.8,2.18,0.089,0,0.0
2024-01-01 11:00:00,2.891,20.74,59.0,4.29,0.264,0,0.0
2024-01-01 12:00:00,2.376,19.21,53.4,3.87,0.066,0,0.0
2024-01-01 13:00:00,1.647,21.62,60.2,4.42,0.102,0,0.0
2024-01-01 14:00:00,1.52,23.43,49.6,3.34,0.369,0,0.0
2024-01-01 15:00:00,1.814,21.66,55.0,4.72,0.152,0,0.0
2024-01-01 16:00:00,2.178,23.66,59.2,3.41,0.02,0,0.0
2024-01-01 17:00:00,3.068,25.97,60.0,4.59,0.153,0,0.0
2024-01-01 18:00:00,3.571,26.62,57.3,2.82,2.512,0,0.0
2024-01-01 19:00:00,3.788,25.69,53.0,2.92,0.091,0,0.0
2024-01-01 20:00:00,3.926,25.27,59.5,4.4,0.092,0,0.0
2024-01-01 21:00:00,2.982,26.82,51.7,3.0,0.056,0,0.0
2024-01-01 22:00:00,2.322,26.65,63.8,6.81,0.095,0,0.0
2024-01-01 23:00:00,1.625,23.66,54.6,4.35,0.257,0,0.0
2024-01-02 00:00:00,1.671,22.8,47.3,3.54,1.002,0,0.0
2024-01-02 01:00:00,1.811,23.26,49.0,4.73,0.281,0,0.0
2024-01-02 02:00:00,1.73,22.63,55.2,2.78,0.158,0,0.0
2024-01-02 03:00:00,2.197,20.67,55.7,4.88,0.148,0,0.0
2024-01-02 04:00:00,2.479,20.68,64.8,4.84,0.007,0,0.0
2024-01-02 05:00:00,3.151,18.46,49.8,5.38,0.001,1,150.9
2024-01-02 06:00:00,3.823,16.42,55.2,2.84,0.479,0,0.0
2024-01-02 07:00:00,4.782,17.71,49.7,1.67,0.202,0,0.0
2024-01-02 08:00:00,4.733,18.06,52.5,2.58,0.01,0,0.0
2024-01-02 09:00:00,4.345,17.86,63.4,3.08,0.101,0,0.0
2024-01-02 10:00:00,4.036,17.38,49.3,6.0,0.132,0,0.0
2024-01-02 11:00:00,3.013,17.36,57.9,6.79,0.459,0,0.0
2024-01-02 12:00:00,2.605,19.49,57.0,4.02,0.171,0,0.0
2024-01-02 13:00:00,1.874,21.86,54.9,3.51,0.467,0,0.0
2024-01-02 14:00:00,1.814,23.26,57.6,2.98,0.301,0,0.0
2024-01-02 15:00:00,2.162,24.22,49.2,4.74,0.01,0,0.0
2024-01-02 16:00:00,2.675,23.18,63.3,6.78,1.039,0,0.0
2024-01-02 17:00:00,3.281,23.67,64.6,6.18,0.06,0,0.0
2024-01-02 18:00:00,3.924,25.96,55.2,5.21,0.097,0,0.0
2024-01-02 19:00:00,4.19,26.5,67.1,5.18,0.497,0,0.0
2024-01-02 20:00:00,3.719,26.4,53.0,4.75,0.063,0,0.0
2024-01-02 21:00:00,3.143,23.85,57.0,3.43,0.154,0,0.0
2024-01-02 22:00:00,2.477,24.6,62.2,2.4,0.601,1,56.6
2024-01-02 23:00:00,2.231,24.8,52.7,3.47,0.304,0,0.0
2024-01-03 00:00:00,1.862,24.49,48.1,4.13,0.108,0,0.0
2024-01-03 01:00:00,1.588,23.8,46.9,1.32,0.31,0,0.0
2024-01-03 02:00:00,2.009,22.14,65.3,3.27,0.502,0,0.0
2024-01-03 03:00:00,2.141,21.3,52.4,2.26,0.155,0,0.0
2024-01-03 04:00:00,2.525,20.08,54.1,5.02,0.254,0,0.0
2024-01-03 05:00:00,3.344,19.86,49.4,2.68,1.325,0,0.0
2024-01-03 06:00:00,4.126,18.85,59.7,3.99,1.002,0,0.0
2024-01-03 07:00:00,4.702,18.2,51.1,2.45,0.213,0,0.0
2024-01-03 08:00:00,4.667,17.73,52.5,5.9,0.03,0,0.0
2024-01-03 09:00:00,4.515,18.22,56.5,0.95,0.362,1,132.2
2024-01-03 10:00:00,4.021,19.02,49.7,4.21,0.094,0,0.0
2024-01-03 11:00:00,3.4,19.44,54.1,1.58,0.332,0,0.0
2024-01-03 12:00:00,2.56,20.38,62.0,2.74,0.13,0,0.0
2024-01-03 13:00:00,2.198,22.31,57.1,3.81,0.381,1,215.5
2024-01-03 14:00:00,1.905,22.27,55.7,3.88,0.137,0,0.0
2024-01-03 15:00:00,2.011,22.39,56.1,3.84,0.85,0,0.0
2024-01-03 16:00:00,2.744,24.88,53.1,3.73,0.044,1,106.7
2024-01-03 17:00:00,3.517,23.46,65.0,2.54,0.021,0,0.0
2024-01-03 18:00:00,3.989,24.38,50.9,3.25,0.456,0,0.0
2024-01-03 19:00:00,4.443,26.2,56.1,3.55,0.154,0,0.0
2024-01-03 20:00:00,4.053,26.52,55.6,3.79,0.188,1,144.5
2024-01-03 21:00:00,3.212,24.62,60.0,3.4,0.815,1,63.6
2024-01-03 22:00:00,2.658,25.08,60.5,4.59,0.267,0,0.0
2024-01-03 23:00:00,2.362,24.22,54.8,3.64,0.324,0,0.0
2024-01-04 00:00:00,1.643,23.51,56.5,3.8,0.006,0,0.0
2024-01-04 01:00:00,1.924,23.98,56.6,2.93,0.333,0,0.0
2024-01-04 02:00:00,1.406,22.71,43.6,1.92,0.147,0,0.0
2024-01-04 03:00:00,2.159,20.95,47.1,3.73,0.185,0,0.0
2024-01-04 04:00:00,2.477,19.45,52.0,5.31,0.495,0,0.0
2024-01-04 05:00:00,3.046,17.82,52.2,4.17,0.223,0,0.0
2024-01-04 06:00:00,3.822,19.96,49.0,2.27,1.3,0,0.0
2024-01-04 07:00:00,4.101,18.73,58.7,4.72,0.478,0,0.0
2024-01-04 08:00:00,4.597,17.29,55.0,3.0,0.391,0,0.0
2024-01-04 09:00:00,4.453,18.86,53.9,4.57,0.267,0,0.0
2024-01-04 10:00:00,4.03,18.47,48.7,2.95,0.16,0,0.0
2024-01-04 11:00:00,3.014,18.88,54.8,4.03,0.016,0,0.0
2024-01-04 12:00:00,2.348,20.44,41.9,2.72,0.006,0,0.0
2024-01-04 13:00:00,1.989,20.22,54.2,2.76,0.014,0,0.0
2024-01-04 14:00:00,2.046,21.66,55.3,1.15,0.957,0,0.0
2024-01-04 15:00:00,2.077,23.16,56.2,4.27,0.117,0,0.0
2024-01-04 16:00:00,2.38,23.5,47.2,4.06,0.362,0,0.0
2024-01-04 17:00:00,3.228,25.5,56.1,4.14,0.271,0,0.0
2024-01-04 18:00:00,3.852,27.33,49.8,3.91,0.254,0,0.0
2024-01-04 19:00:00,4.276,25.11,50.9,2.36,0.26,0,0.0
2024-01-04 20:00:00,3.731,24.33,58.6,4.95,0.108,0,0.0
2024-01-04 21:00:00,3.097,23.86,65.1,4.99,0.653,0,0.0
2024-01-04 22:00:00,2.383,25.31,55.3,2.32,0.755,0,0.0
2024-01-04 23:00:00,1.749,24.17,50.9,4.3,0.31,0,0.0
2024-01-05 00:00:00,1.432,24.21,55.9,4.81,0.598,0,0.0
2024-01-05 01:00:00,1.469,23.17,59.7,2.79,0.019,0,0.0
2024-01-05 02:00:00,1.539,20.4,58.1,3.06,0.032,0,0.0
2024-01-05 03:00:00,1.741,19.15,68.7,4.3,0.246,0,0.0
2024-01-05 04:00:00,1.992,20.3,51.4,1.23,0.562,0,0.0
2024-01-05 05:00:00,2.767,19.31,56.3,1.87,0.114,1,52.6
2024-01-05 06:00:00,3.497,18.11,62.7,2.02,0.238,0,0.0
2024-01-05 07:00:00,4.019,16.48,62.4,0.81,0.003,0,0.0
2024-01-05 08:00:00,4.346,18.47,45.2,5.13,1.294,0,0.0
2024-01-05 09:00:00,4.2,19.41,55.0,0.52,0.437,0,0.0
2024-01-05 10:00:00,3.831,18.81,62.4,4.01,0.135,1,84.8
2024-01-05 11:00:00,2.857,18.32,69.5,4.72,1.223,0,0.0
2024-01-05 12:00:00,2.248,20.04,58.5,3.06,0.029,0,0.0
